"","Course.Identifier","College","Department","Merged","Subject.Code","Catalog.Number","Course.Description","Course.Level","Total.Student.Count","D_GRADE_COUNT","FAIL_GRADE_COUNT","WITHDRAW_GRADE_COUNT","DEW_COUNT","PASS_GRADE_COUNT","WITHDRAW_FULLMED_GRADE_COUNT","INCOMPLETE_UNGRADED_COUNT","TERM_LD","ACAD_YR_SID","Percent.D.Grade","Percent.E.Grade","Percent.W.Grade","Percent.DEW","Percent.Passed","Per.Full..Medical.Withdrawal","Per.Ungraded..Incomplete","P.F.Opt","Units","Class..","Sections","Total.Enroll","Max.Enroll","Rm.Cap","Early_Morning","Mid_Morning","Early_Afternoon","Mid_Afternoon","Evening","Asynchronous","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Laboratory","Lecture","Colloquim","Seminar","Workshop","Discussion","Studio","Practicum","In_Person","Full_Online","IntractTV","Hybrid","Live_Online","Reg_Session","First_Half_Session","Second_Half_Session","First_Third_Session","Second_Third_Session","Third_Third_Session","Ten_Week","Thirteen_Week","Other","College_Number"
"1","Fall 2019_ACBS_102L","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_102L","ACBS","102L","Intro to Animal Sci Lab","Lower Division",250,8,7,3,18,229,3,0,"Fall 2019",2020,3.2,2.8,1.2,7.2,91.6,1.2,0,"",1,450809,8,250,280,8,0,0,8,0,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,1
"2","Fall 2019_ACBS_102R","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_102R","ACBS","102R","Introd to Animal Science","Lower Division",267,7,10,2,19,244,4,0,"Fall 2019",2020,2.6,3.7,0.7,7.1,91.4,1.5,0,"",3,41166,1,267,299,300,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"3","Fall 2019_ACBS_142","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_142","ACBS","142","Intro Anml Racing Indus","Lower Division",28,0,2,0,2,26,0,0,"Fall 2019",2020,0,7.1,0,7.1,92.9,0,0,"",2,25697,1,28,20,80,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"4","Fall 2019_ACBS_160D1","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_160D1","ACBS","160D1","Hum+Anml Interl Dom-Pres","Lower Division",681,30,72,8,110,561,10,0,"Fall 2019",2020,4.4,10.6,1.2,16.2,82.4,1.5,0,"",3,162498,3,681,907,913,1,1,0,0,0,1,2,0,2,0,2,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1
"5","Fall 2019_ACBS_195F","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_195F","ACBS","195F","Careers/Veterinary Sci","Lower Division",205,11,17,1,29,173,3,0,"Fall 2019",2020,5.4,8.3,0.5,14.1,84.4,1.5,0,"",1,38050,1,205,190,300,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"6","Fall 2019_ACBS_270","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_270","ACBS","270","Intro Horse Science","Lower Division",48,4,2,1,7,41,0,0,"Fall 2019",2020,8.3,4.2,2.1,14.6,85.4,0,0,"",3,25698,1,48,50,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"7","Fall 2019_ACBS_271A","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_271A","ACBS","271A","Trng+Mgmt Of Weanling","Lower Division",12,0,0,1,1,11,0,0,"Fall 2019",2020,0,0,8.3,8.3,91.7,0,0,"",3,65922,2,24,40,2,0,0,2,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"8","Fall 2019_ACBS_272","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_272","ACBS","272","Intro Horsemanship Prog","Lower Division",9,0,0,0,0,9,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",2,146067,5,18,56,5,0,5,0,0,0,0,2,1,2,0,2,0,0,3,2,0,0,0,0,0,0,5,0,0,0,0,0,3,2,0,0,0,0,0,0,1
"9","Fall 2019_ACBS_301","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_301","ACBS","301","Financial+Econ Strategy","Upper Division",37,0,5,0,5,31,1,0,"Fall 2019",2020,0,13.5,0,13.5,83.8,2.7,0,"",3,58378,1,37,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"10","Fall 2019_ACBS_315L","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_315L","ACBS","315L","Psio of Reproduction Lab","Upper Division",17,0,0,1,1,16,0,0,"Fall 2019",2020,0,0,5.9,5.9,94.1,0,0,"",1,41058,1,17,30,40,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
